value,   feasible,   frequency, time, iteration
0,False,3,224686.7398672104,0
0,False,1,224686.7398672104,0
0,False,2,224686.7398672104,0
0,False,2,224686.7398672104,0
7790,False,1,224686.7398672104,0
1722,False,4,224686.7398672104,0
9512,False,3,224686.7398672104,0
0,False,4,224686.7398672104,0
7790,False,1,224686.7398672104,0
1722,False,2,224686.7398672104,0
9512,False,1,224686.7398672104,0
10640,False,2,224686.7398672104,0
18430,False,1,224686.7398672104,0
13346,True,4,224686.7398672104,0
21136,False,4,224686.7398672104,0
11780,False,1,224686.7398672104,0
19570,False,5,224686.7398672104,0
14486,False,3,224686.7398672104,0
22276,False,1,224686.7398672104,0
984,False,5,224686.7398672104,0
2352,False,1,224686.7398672104,0
11126,True,3,224686.7398672104,0
4074,False,2,224686.7398672104,0
12848,False,1,224686.7398672104,0
2604,False,1,224686.7398672104,0
11378,False,2,224686.7398672104,0
12992,False,1,224686.7398672104,0
21766,False,2,224686.7398672104,0
15698,False,3,224686.7398672104,0
24472,False,6,224686.7398672104,0
14384,False,3,224686.7398672104,0
17090,False,1,224686.7398672104,0
25864,False,2,224686.7398672104,0
0,False,5,224686.7398672104,0
0,False,1,224686.7398672104,0
8930,False,1,224686.7398672104,0
10904,False,3,224686.7398672104,0
0,False,3,224686.7398672104,0
1974,False,2,224686.7398672104,0
10904,False,3,224686.7398672104,0
10640,False,4,224686.7398672104,0
19570,False,1,224686.7398672104,0
13598,False,1,224686.7398672104,0
22528,False,2,224686.7398672104,0
11780,False,3,224686.7398672104,0
20710,False,3,224686.7398672104,0
14738,False,3,224686.7398672104,0
23668,False,1,224686.7398672104,0
984,False,2,224686.7398672104,0
2352,False,3,224686.7398672104,0
12266,False,2,224686.7398672104,0
14240,False,4,224686.7398672104,0
2604,False,2,224686.7398672104,0
12518,False,3,224686.7398672104,0
4578,False,2,224686.7398672104,0
14492,False,4,224686.7398672104,0
12992,False,4,224686.7398672104,0
22906,False,1,224686.7398672104,0
15950,False,2,224686.7398672104,0
25864,False,6,224686.7398672104,0
14384,False,4,224686.7398672104,0
17342,False,3,224686.7398672104,0
0,False,1,224686.7398672104,0
7790,False,2,224686.7398672104,0
8446,False,2,224686.7398672104,0
16236,False,6,224686.7398672104,0
7790,False,4,224686.7398672104,0
16236,False,4,224686.7398672104,0
24026,False,1,224686.7398672104,0
10640,False,4,224686.7398672104,0
18430,False,2,224686.7398672104,0
20070,False,2,224686.7398672104,0
27860,False,1,224686.7398672104,0
19570,False,1,224686.7398672104,0
27360,False,1,224686.7398672104,0
36790,False,1,224686.7398672104,0
1236,False,1,224686.7398672104,0
20310,False,3,224686.7398672104,0
19982,False,1,224686.7398672104,0
28756,False,1,224686.7398672104,0
19578,False,2,224686.7398672104,0
28024,False,1,224686.7398672104,0
36798,False,1,224686.7398672104,0
22176,False,2,224686.7398672104,0
