value,   feasible,   frequency, time, iteration
2376,False,2,59.78340220451355,1
29006,False,1,59.78340220451355,1
19982,False,1,59.78340220451355,1
0,False,1,59.78340220451355,1
1974,False,1,59.78340220451355,1
12266,False,3,59.78340220451355,1
39906,False,1,59.78340220451355,1
17850,False,2,59.78340220451355,1
45244,False,3,59.78340220451355,1
19400,False,1,59.78340220451355,1
22504,False,2,59.78340220451355,1
22504,False,2,59.78340220451355,1
40692,False,2,59.78340220451355,1
9184,False,4,59.78340220451355,1
1722,False,6,59.78340220451355,1
9184,False,4,59.78340220451355,1
19824,False,4,59.78340220451355,1
29990,False,1,59.78340220451355,1
29480,False,3,59.78340220451355,1
19824,False,3,59.78340220451355,1
0,False,2,59.78340220451355,1
17876,False,2,59.78340220451355,1
9184,False,4,59.78340220451355,1
2352,False,3,59.78340220451355,1
46858,False,8,59.78340220451355,1
14738,False,1,59.78340220451355,1
23616,False,1,59.78340220451355,1
28024,False,2,59.78340220451355,1
15698,False,1,59.78340220451355,1
8446,False,3,59.78340220451355,1
39892,False,17,59.78340220451355,1
24528,False,3,59.78340220451355,1
19740,False,6,59.78340220451355,1
4326,False,5,59.78340220451355,1
33226,False,10,59.78340220451355,1
28352,False,10,59.78340220451355,1
59628,False,4,59.78340220451355,1
21620,False,9,59.78340220451355,1
22176,False,5,59.78340220451355,1
47238,False,5,59.78340220451355,1
7790,False,3,59.78340220451355,1
13282,False,3,59.78340220451355,1
28924,False,9,59.78340220451355,1
252,False,5,59.78340220451355,1
15634,False,9,59.78340220451355,1
19968,False,8,59.78340220451355,1
6724,False,19,59.78340220451355,1
9682,False,6,59.78340220451355,1
14384,False,4,59.78340220451355,1
16892,False,3,59.78340220451355,1
9184,False,2,59.78340220451355,1
16236,False,20,59.78340220451355,1
984,False,2,59.78340220451355,1
3444,False,1,59.78340220451355,1
40788,False,8,59.78340220451355,1
15580,False,11,59.78340220451355,1
40132,False,8,59.78340220451355,1
21136,False,17,59.78340220451355,1
50224,False,10,59.78340220451355,1
10640,False,3,59.78340220451355,1
1722,False,6,59.78340220451355,1
22176,False,5,59.78340220451355,1
20990,False,5,59.78340220451355,1
38000,False,3,59.78340220451355,1
26546,False,8,59.78340220451355,1
10640,False,6,59.78340220451355,1
40788,False,4,59.78340220451355,1
22960,False,10,59.78340220451355,1
252,False,23,59.78340220451355,1
39906,False,14,59.78340220451355,1
37344,False,1,59.78340220451355,1
43768,False,4,59.78340220451355,1
54034,False,5,59.78340220451355,1
21766,False,18,59.78340220451355,1
9512,False,24,59.78340220451355,1
37200,False,6,59.78340220451355,1
20384,False,2,59.78340220451355,1
27530,False,5,59.78340220451355,1
12772,False,10,59.78340220451355,1
4326,False,2,59.78340220451355,1
56288,False,16,59.78340220451355,1
37830,False,8,59.78340220451355,1
13174,False,9,59.78340220451355,1
7790,False,6,59.78340220451355,1
11938,False,10,59.78340220451355,1
8930,False,11,59.78340220451355,1
7708,False,9,59.78340220451355,1
39140,False,16,59.78340220451355,1
0,False,19,59.78340220451355,1
19350,False,12,59.78340220451355,1
11452,False,22,59.78340220451355,1
1722,False,1,59.78340220451355,1
984,False,1,59.78340220451355,1
984,False,6,59.78340220451355,1
22530,False,10,59.78340220451355,1
67192,False,14,59.78340220451355,1
8930,False,20,59.78340220451355,1
36798,False,32,59.78340220451355,1
17876,False,12,59.78340220451355,1
25672,False,1,59.78340220451355,1
13598,False,22,59.78340220451355,1
13426,False,6,59.78340220451355,1
30962,False,32,59.78340220451355,1
27866,False,25,59.78340220451355,1
20710,False,25,59.78340220451355,1
48822,False,28,59.78340220451355,1
13100,False,12,59.78340220451355,1
20070,False,23,59.78340220451355,1
31360,False,9,59.78340220451355,1
37344,False,32,59.78340220451355,1
16638,False,11,59.78340220451355,1
31202,False,36,59.78340220451355,1
18430,False,79,59.78340220451355,1
2604,False,12,59.78340220451355,1
38916,False,12,59.78340220451355,1
29254,False,31,59.78340220451355,1
49864,False,10,59.78340220451355,1
6724,False,14,59.78340220451355,1
37044,False,21,59.78340220451355,1
27486,False,11,59.78340220451355,1
12772,False,59,59.78340220451355,1
10640,False,19,59.78340220451355,1
24528,False,14,59.78340220451355,1
25864,False,15,59.78340220451355,1
49562,False,29,59.78340220451355,1
24472,False,33,59.78340220451355,1
34292,False,15,59.78340220451355,1
10468,False,15,59.78340220451355,1
0,False,8,59.78340220451355,1
20710,False,12,59.78340220451355,1
27034,False,21,59.78340220451355,1
23316,False,15,59.78340220451355,1
16236,False,10,59.78340220451355,1
18006,False,12,59.78340220451355,1
30874,False,1,59.78340220451355,1
20006,False,22,59.78340220451355,1
27128,False,3,59.78340220451355,1
32472,False,51,59.78340220451355,1
18948,False,6,59.78340220451355,1
3360,False,12,59.78340220451355,1
24734,False,37,59.78340220451355,1
