value,   feasible,   frequency, time, iteration
19982,False,12,4416.467569828033,1000
56288,False,27,4416.467569828033,1000
4704,False,27,4416.467569828033,1000
26076,False,13,4416.467569828033,1000
14384,False,20,4416.467569828033,1000
28352,False,14,4416.467569828033,1000
1968,False,32,4416.467569828033,1000
0,False,15,4416.467569828033,1000
13598,False,12,4416.467569828033,1000
19740,False,19,4416.467569828033,1000
11938,False,17,4416.467569828033,1000
20070,False,14,4416.467569828033,1000
36966,False,15,4416.467569828033,1000
14486,False,20,4416.467569828033,1000
7708,False,27,4416.467569828033,1000
4326,False,21,4416.467569828033,1000
2604,False,14,4416.467569828033,1000
61594,False,18,4416.467569828033,1000
60990,False,17,4416.467569828033,1000
47764,False,21,4416.467569828033,1000
10640,False,22,4416.467569828033,1000
37044,False,23,4416.467569828033,1000
984,False,13,4416.467569828033,1000
12992,False,16,4416.467569828033,1000
16892,False,16,4416.467569828033,1000
0,False,19,4416.467569828033,1000
51694,False,16,4416.467569828033,1000
25290,False,16,4416.467569828033,1000
30210,False,14,4416.467569828033,1000
21620,False,18,4416.467569828033,1000
24934,False,21,4416.467569828033,1000
38916,False,21,4416.467569828033,1000
6048,False,16,4416.467569828033,1000
2280,False,15,4416.467569828033,1000
2376,False,13,4416.467569828033,1000
25864,False,4,4416.467569828033,1000
7790,False,17,4416.467569828033,1000
6724,False,20,4416.467569828033,1000
28268,False,10,4416.467569828033,1000
22530,False,8,4416.467569828033,1000
984,False,6,4416.467569828033,1000
18948,False,13,4416.467569828033,1000
34292,False,21,4416.467569828033,1000
22176,False,17,4416.467569828033,1000
1140,False,17,4416.467569828033,1000
252,False,19,4416.467569828033,1000
16892,False,14,4416.467569828033,1000
30874,False,17,4416.467569828033,1000
24734,False,16,4416.467569828033,1000
30950,False,19,4416.467569828033,1000
9184,False,14,4416.467569828033,1000
1140,False,12,4416.467569828033,1000
36058,False,9,4416.467569828033,1000
25392,False,15,4416.467569828033,1000
0,False,18,4416.467569828033,1000
12266,False,19,4416.467569828033,1000
29254,False,21,4416.467569828033,1000
19338,False,12,4416.467569828033,1000
1392,False,18,4416.467569828033,1000
7708,False,6,4416.467569828033,1000
22276,False,14,4416.467569828033,1000
11378,False,18,4416.467569828033,1000
27866,False,16,4416.467569828033,1000
17090,False,12,4416.467569828033,1000
31130,False,10,4416.467569828033,1000
1722,False,17,4416.467569828033,1000
0,False,21,4416.467569828033,1000
0,False,10,4416.467569828033,1000
20990,False,15,4416.467569828033,1000
14492,False,10,4416.467569828033,1000
31606,False,14,4416.467569828033,1000
252,False,29,4416.467569828033,1000
4326,False,22,4416.467569828033,1000
10640,False,30,4416.467569828033,1000
54034,False,16,4416.467569828033,1000
984,False,13,4416.467569828033,1000
4326,False,17,4416.467569828033,1000
40132,False,8,4416.467569828033,1000
2352,False,15,4416.467569828033,1000
984,False,12,4416.467569828033,1000
28024,False,18,4416.467569828033,1000
11536,False,21,4416.467569828033,1000
27256,False,19,4416.467569828033,1000
17958,False,16,4416.467569828033,1000
39892,False,12,4416.467569828033,1000
16236,False,15,4416.467569828033,1000
20636,False,20,4416.467569828033,1000
38158,False,19,4416.467569828033,1000
19824,False,20,4416.467569828033,1000
21766,False,16,4416.467569828033,1000
1974,False,22,4416.467569828033,1000
25038,False,17,4416.467569828033,1000
14650,False,19,4416.467569828033,1000
23950,False,15,4416.467569828033,1000
48830,False,21,4416.467569828033,1000
9184,False,23,4416.467569828033,1000
15886,False,13,4416.467569828033,1000
32090,False,19,4416.467569828033,1000
9184,False,19,4416.467569828033,1000
16236,False,23,4416.467569828033,1000
30962,False,16,4416.467569828033,1000
2376,False,13,4416.467569828033,1000
2376,False,13,4416.467569828033,1000
27784,False,10,4416.467569828033,1000
9512,False,15,4416.467569828033,1000
7790,False,9,4416.467569828033,1000
37344,False,12,4416.467569828033,1000
27544,False,14,4416.467569828033,1000
12298,False,21,4416.467569828033,1000
2628,False,18,4416.467569828033,1000
252,False,25,4416.467569828033,1000
26076,False,17,4416.467569828033,1000
19400,False,24,4416.467569828033,1000
0,False,22,4416.467569828033,1000
28646,False,9,4416.467569828033,1000
9184,False,15,4416.467569828033,1000
44688,False,19,4416.467569828033,1000
11126,True,17,4416.467569828033,1000
16638,False,14,4416.467569828033,1000
21136,False,13,4416.467569828033,1000
19824,False,22,4416.467569828033,1000
27360,False,31,4416.467569828033,1000
24528,False,14,4416.467569828033,1000
24298,False,14,4416.467569828033,1000
2376,False,13,4416.467569828033,1000
19982,False,15,4416.467569828033,1000
26560,False,18,4416.467569828033,1000
29480,False,16,4416.467569828033,1000
4074,False,25,4416.467569828033,1000
42264,False,15,4416.467569828033,1000
40692,False,12,4416.467569828033,1000
16236,False,16,4416.467569828033,1000
14240,False,7,4416.467569828033,1000
40788,False,21,4416.467569828033,1000
0,False,21,4416.467569828033,1000
1392,False,8,4416.467569828033,1000
0,False,10,4416.467569828033,1000
17226,True,9,4416.467569828033,1000
40132,False,10,4416.467569828033,1000
12772,False,26,4416.467569828033,1000
18210,False,18,4416.467569828033,1000
30218,False,18,4416.467569828033,1000
0,False,13,4416.467569828033,1000
39140,False,16,4416.467569828033,1000
3444,False,28,4416.467569828033,1000
19836,False,16,4416.467569828033,1000
20856,False,13,4416.467569828033,1000
6678,False,12,4416.467569828033,1000
67192,False,15,4416.467569828033,1000
10640,False,13,4416.467569828033,1000
2124,False,14,4416.467569828033,1000
18770,False,17,4416.467569828033,1000
33226,False,28,4416.467569828033,1000
20384,False,15,4416.467569828033,1000
21300,False,7,4416.467569828033,1000
47238,False,30,4416.467569828033,1000
50224,False,13,4416.467569828033,1000
15908,False,16,4416.467569828033,1000
40788,False,18,4416.467569828033,1000
1974,False,14,4416.467569828033,1000
11780,False,18,4416.467569828033,1000
57762,False,16,4416.467569828033,1000
8652,False,14,4416.467569828033,1000
0,False,21,4416.467569828033,1000
34338,False,16,4416.467569828033,1000
10640,False,19,4416.467569828033,1000
4074,False,15,4416.467569828033,1000
18368,False,25,4416.467569828033,1000
1974,False,18,4416.467569828033,1000
19570,False,11,4416.467569828033,1000
22504,False,4,4416.467569828033,1000
34268,False,23,4416.467569828033,1000
14514,False,14,4416.467569828033,1000
14384,False,15,4416.467569828033,1000
29908,False,10,4416.467569828033,1000
0,False,14,4416.467569828033,1000
22906,False,13,4416.467569828033,1000
0,False,18,4416.467569828033,1000
0,False,24,4416.467569828033,1000
31358,False,12,4416.467569828033,1000
252,False,16,4416.467569828033,1000
12518,False,23,4416.467569828033,1000
0,False,9,4416.467569828033,1000
38000,False,13,4416.467569828033,1000
48470,False,10,4416.467569828033,1000
11536,False,15,4416.467569828033,1000
44124,False,19,4416.467569828033,1000
29990,False,22,4416.467569828033,1000
2604,False,25,4416.467569828033,1000
32472,False,15,4416.467569828033,1000
0,False,14,4416.467569828033,1000
6724,False,12,4416.467569828033,1000
39090,False,17,4416.467569828033,1000
0,False,12,4416.467569828033,1000
22262,False,18,4416.467569828033,1000
1236,False,13,4416.467569828033,1000
504,False,19,4416.467569828033,1000
16638,False,11,4416.467569828033,1000
13346,True,15,4416.467569828033,1000
28924,False,23,4416.467569828033,1000
4074,False,21,4416.467569828033,1000
0,False,16,4416.467569828033,1000
25134,False,17,4416.467569828033,1000
39906,False,9,4416.467569828033,1000
18430,False,13,4416.467569828033,1000
19728,False,14,4416.467569828033,1000
37344,False,21,4416.467569828033,1000
13448,False,11,4416.467569828033,1000
30136,False,12,4416.467569828033,1000
19570,False,21,4416.467569828033,1000
22686,False,14,4416.467569828033,1000
22176,False,24,4416.467569828033,1000
43468,False,13,4416.467569828033,1000
27530,False,9,4416.467569828033,1000
23668,False,10,4416.467569828033,1000
20710,False,17,4416.467569828033,1000
51680,False,16,4416.467569828033,1000
11200,False,21,4416.467569828033,1000
19350,False,16,4416.467569828033,1000
14514,False,12,4416.467569828033,1000
11780,False,19,4416.467569828033,1000
31360,False,17,4416.467569828033,1000
10640,False,12,4416.467569828033,1000
10904,False,18,4416.467569828033,1000
19578,False,14,4416.467569828033,1000
25864,False,20,4416.467569828033,1000
1392,False,20,4416.467569828033,1000
8446,False,15,4416.467569828033,1000
23158,False,9,4416.467569828033,1000
9512,False,18,4416.467569828033,1000
36966,False,26,4416.467569828033,1000
0,False,17,4416.467569828033,1000
13282,False,21,4416.467569828033,1000
15908,False,21,4416.467569828033,1000
8446,False,19,4416.467569828033,1000
1140,False,23,4416.467569828033,1000
3360,False,17,4416.467569828033,1000
21690,False,8,4416.467569828033,1000
48822,False,22,4416.467569828033,1000
1722,False,15,4416.467569828033,1000
29152,False,28,4416.467569828033,1000
16236,False,11,4416.467569828033,1000
7708,False,27,4416.467569828033,1000
0,False,22,4416.467569828033,1000
39892,False,6,4416.467569828033,1000
70672,False,18,4416.467569828033,1000
41166,False,30,4416.467569828033,1000
11536,False,15,4416.467569828033,1000
49864,False,22,4416.467569828033,1000
0,False,8,4416.467569828033,1000
2352,False,15,4416.467569828033,1000
27360,False,13,4416.467569828033,1000
43494,False,20,4416.467569828033,1000
38916,False,19,4416.467569828033,1000
13426,False,18,4416.467569828033,1000
41998,False,33,4416.467569828033,1000
17876,False,14,4416.467569828033,1000
31360,False,10,4416.467569828033,1000
29000,False,6,4416.467569828033,1000
0,False,17,4416.467569828033,1000
10216,True,18,4416.467569828033,1000
8930,False,9,4416.467569828033,1000
17616,True,17,4416.467569828033,1000
17342,False,23,4416.467569828033,1000
28756,False,11,4416.467569828033,1000
2376,False,23,4416.467569828033,1000
2352,False,21,4416.467569828033,1000
984,False,9,4416.467569828033,1000
49562,False,23,4416.467569828033,1000
1140,False,14,4416.467569828033,1000
18430,False,16,4416.467569828033,1000
2124,False,19,4416.467569828033,1000
6724,False,13,4416.467569828033,1000
0,False,17,4416.467569828033,1000
2124,False,20,4416.467569828033,1000
22960,False,19,4416.467569828033,1000
40788,False,21,4416.467569828033,1000
14738,False,13,4416.467569828033,1000
28670,False,15,4416.467569828033,1000
34338,False,23,4416.467569828033,1000
11536,False,12,4416.467569828033,1000
0,False,15,4416.467569828033,1000
1722,False,13,4416.467569828033,1000
7790,False,19,4416.467569828033,1000
15698,False,14,4416.467569828033,1000
32816,False,15,4416.467569828033,1000
10168,False,25,4416.467569828033,1000
0,False,33,4416.467569828033,1000
23316,False,18,4416.467569828033,1000
40790,False,13,4416.467569828033,1000
10468,False,16,4416.467569828033,1000
24026,False,24,4416.467569828033,1000
34842,False,22,4416.467569828033,1000
8930,False,12,4416.467569828033,1000
13100,False,10,4416.467569828033,1000
19570,False,11,4416.467569828033,1000
21702,False,17,4416.467569828033,1000
26656,False,24,4416.467569828033,1000
16892,False,11,4416.467569828033,1000
38000,False,14,4416.467569828033,1000
252,False,20,4416.467569828033,1000
1236,False,11,4416.467569828033,1000
18006,False,19,4416.467569828033,1000
59628,False,19,4416.467569828033,1000
15950,False,26,4416.467569828033,1000
36798,False,10,4416.467569828033,1000
21546,False,15,4416.467569828033,1000
6724,False,19,4416.467569828033,1000
32816,False,14,4416.467569828033,1000
32828,False,18,4416.467569828033,1000
27996,False,19,4416.467569828033,1000
19570,False,23,4416.467569828033,1000
12190,False,14,4416.467569828033,1000
3516,False,23,4416.467569828033,1000
1392,False,20,4416.467569828033,1000
46858,False,15,4416.467569828033,1000
29272,False,8,4416.467569828033,1000
25672,False,13,4416.467569828033,1000
44352,False,9,4416.467569828033,1000
27058,False,9,4416.467569828033,1000
11452,False,16,4416.467569828033,1000
24026,False,23,4416.467569828033,1000
14398,False,9,4416.467569828033,1000
21948,False,5,4416.467569828033,1000
12992,False,11,4416.467569828033,1000
19572,False,8,4416.467569828033,1000
0,False,18,4416.467569828033,1000
20710,False,18,4416.467569828033,1000
23616,False,13,4416.467569828033,1000
23316,False,13,4416.467569828033,1000
16236,False,30,4416.467569828033,1000
12772,False,18,4416.467569828033,1000
15580,False,15,4416.467569828033,1000
44280,False,19,4416.467569828033,1000
29746,False,24,4416.467569828033,1000
19570,False,18,4416.467569828033,1000
30600,False,12,4416.467569828033,1000
45244,False,11,4416.467569828033,1000
39320,False,19,4416.467569828033,1000
19824,False,19,4416.467569828033,1000
24882,False,19,4416.467569828033,1000
6724,False,15,4416.467569828033,1000
19824,False,14,4416.467569828033,1000
9184,False,19,4416.467569828033,1000
81576,False,7,4416.467569828033,1000
42730,False,14,4416.467569828033,1000
3360,False,9,4416.467569828033,1000
20310,False,18,4416.467569828033,1000
27642,False,8,4416.467569828033,1000
27034,False,16,4416.467569828033,1000
0,False,24,4416.467569828033,1000
